,Scenario,proba_absence,Imputer: remasker,lstm,gain,ice,mice,missforest,sinkhorn,miwae,miracle,EM,mean,median,most_frequent,softimpute
0,MAR,0.1,0.9613018711143593,0.9785169241242604,0.9601213371109354,0.9681512108682813,0.9666731406489333,0.9626934435912582,0.9680174597294944,0.9800542613152863,0.9653324256409743,0.9683105909677936,0.9814310170492657,0.984469650705297,0.9741343718401795,0.9748579895281668
1,MAR,0.3,0.9246820907625616,0.9309888173636209,0.9231535635267852,0.9122412325928299,0.8812229819696257,0.8989386006186992,0.9088982550281819,0.9158677305355052,0.9244286043228849,0.917861583589456,0.9329930821828666,0.9482114789712375,0.9130113027721325,0.9258117672970457
2,MAR,0.5,0.8598796640203431,0.8483025819175668,0.8309994293551713,0.8231874017639933,0.7729930821828667,0.8314779701062202,0.8320085696837426,0.8427611200656742,0.8372641084425401,0.8401970226355782,0.8527460029833711,0.8617613903711194,0.8105759508244317,0.8435916585741889
3,MAR,0.7,0.8866090682471192,0.8276640603882387,0.8149769239240342,0.8087350706298116,0.8101694915254236,0.8835784436413145,0.8220385035089651,0.8237007818835285,0.8180672159540281,0.822705657392854,0.8320394045271157,0.8325860222050918,0.8246798882737494,0.8273304834462943
4,MCAR,0.1,0.9618060408261335,0.9737287134461943,0.9687106430266201,0.9653452401213372,0.952151130777779,0.9665145614544435,0.96631593700882,0.973146455494709,0.9681724348513819,0.9665774324987235,0.9714557449918408,0.9797230870884099,0.9582912691341214,0.9670067175908776
5,MCAR,0.3,0.9050074584280237,0.9272642085556679,0.9186016198304083,0.9089735401003134,0.8923631703825323,0.9216694865197672,0.900538808854005,0.9124662869042017,0.9082843613283009,0.9147484657663159,0.9108540650935558,0.9220787489863547,0.9014274129766636,0.903171784116051
6,MCAR,0.5,,,,,,,,,,,,,,
7,MCAR,0.7,,,,,,,,,,,,,,
8,MNAR,0.1,0.966313534293752,0.978045991970927,0.9624719933524883,0.9647385545666604,0.957513990809615,0.9664460840750048,0.9629997897624316,0.9694406679547889,0.9678260434290749,0.9650328871624936,0.9674412085656793,0.9772915394395667,0.9732173355892159,0.960175398199966
9,MNAR,0.3,0.893147656852243,0.912401413597365,0.8902467788601119,0.8846780862374484,0.8628358044590386,0.8881636248961325,0.8750399951945699,0.8925041296665233,0.8931124170312453,0.8923711794327591,0.8972086457697199,0.9111808343428074,0.864713926737213,0.8808113167879705
10,MNAR,0.5,,,,,,,,,,,,,,
11,MNAR,0.7,,,,,,,,,,,,,,
