,Scenario,proba_absence,Imputer: remasker,lstm,gain,ice,mice,missforest,sinkhorn,miwae,miracle,EM,mean,median,most_frequent,softimpute
0,MAR,0.1,0.029526835605348977,0.2875881439331793,0.05466053060800462,0.06886036477294116,0.03434262618216781,0.0305704196636575,0.018364044313387385,0.08271179707052173,0.029385734629553385,0.03397205332571605,0.112951832548383,0.11030255777019607,0.14478709469093592,0.06770016857947381
1,MAR,0.3,0.11822683072930272,1.1378426231432714,0.21041303339275466,0.19499251905898998,0.1429282886004699,0.1311282079525054,0.13702538594455121,0.297713420744195,0.13886936850293927,0.1481441954460094,0.4264069398444295,0.41065571676163054,0.6585828493341825,0.23632320108431037
2,MAR,0.5,0.2266816427758192,1.7616074339727965,0.4236858079854896,0.28502440764424364,0.23990955326508231,0.2665416050257681,0.283170765068393,0.48392915404270265,0.2892948990968567,0.27253387627218734,0.6860544997545781,0.6775799297444856,0.9974497735966856,0.3898191510281866
3,MAR,0.7,0.4281503336699833,1.7862809259596553,0.7139812099855833,0.38396816458305383,0.3194657043771957,0.2968985124468061,0.6172989152279148,0.7903653130216494,0.4505066166066641,0.4506083130474632,1.0642145418809292,1.0583243992807545,1.3502218047332801,0.7057105345386128
4,MCAR,0.1,0.0694034870818637,0.5160377549319162,0.14505265090940167,0.11128855024955894,0.07764850144644345,0.06723777250582316,0.061624509714603475,0.15470933551369562,0.07814826847642631,0.08465169397554512,0.22596783904104545,0.21401447873645923,0.2613124888764925,0.13690948180839452
5,MCAR,0.3,0.46964455412515593,1.5348769364794426,0.40409589414676134,0.3005019127229026,0.22764202174645132,0.22231100720133753,0.2153128208055637,0.4566993688859112,0.23792925800733278,0.27290734643224157,0.6645692339465606,0.6327140717939482,0.8226633566610246,0.37857448821315304
6,MCAR,0.5,,,,,,,,,,,,,,
7,MCAR,0.7,,,,,,,,,,,,,,
8,MNAR,0.1,0.06701132466621594,0.5075842429554445,0.14138480541590498,0.10399462297496115,0.07406257171409354,0.06541913694337659,0.055862210529277784,0.1504714514105375,0.07495529911603946,0.07905067846212963,0.21558529935918455,0.2086628745906705,0.2913398424425682,0.13645717705440416
9,MNAR,0.3,0.37783374407054815,1.5216292030420073,0.42596331017046485,0.2642505325625849,0.22101917462791848,0.2282774281505317,0.21838966850195732,0.449844517632853,0.22516185457944032,0.27028440449961966,0.6565638432450653,0.6329682200210115,0.8900770132368145,0.3775054500244699
10,MNAR,0.5,,,,,,,,,,,,,,
11,MNAR,0.7,,,,,,,,,,,,,,
