,Scenario,proba_absence,Imputer: remasker,lstm,gain,ice,mice,missforest,sinkhorn,miwae,miracle,EM,mean,median,most_frequent,softimpute
0,MAR,0.1,0.951593029396233,0.9402393944728041,0.9394912867452913,0.9522091181130082,0.9441559584580179,0.9527812004928711,0.9405474388311917,0.9297218799507129,0.7847209998239747,0.9526051751452209,0.9531772575250836,0.9531772575250836,0.9255852842809364,0.9543214222848091
1,MAR,0.3,0.9287537405386376,0.9233409610983982,0.9152878014434078,0.933066361556064,0.9207445872205597,0.9333744059144515,0.9192483717655342,0.9104030980461186,0.8386727688787186,0.933066361556064,0.9325822918500265,0.9325382855131139,0.8893240626650237,0.9273895440943496
2,MAR,0.5,0.9619345185706742,0.9607463474740362,0.9549815173384968,0.9597782080619609,0.9498767822566451,0.9606143284632988,0.9539253652525964,0.9527812004928709,0.9514610103854956,0.961406442527724,0.960306284104911,0.9603502904418235,0.9604383031156487,0.9483805668016194
3,MAR,0.7,0.8306196092237282,0.800123217743355,0.8197060376694244,0.7929941911635275,0.7840168984333744,0.8040837880654814,0.8406090477028691,0.8073842633339201,0.7682626298186939,0.8227864812533005,0.8395088892800563,0.8384087308572434,0.7903538109487767,0.8389808132371062
4,MCAR,0.1,0.9559936630874846,0.944419996479493,0.9398433374405915,0.9541453969371589,0.9548054919908466,0.9552455553599719,0.9555535997183594,0.9555535997183593,0.8170216511177609,0.9543654286217215,0.9560816757613095,0.9560376694243972,0.9131314909346946,0.9517690547438832
5,MCAR,0.3,0.8806988206301708,0.8361644076747051,0.8378806548142932,0.8365604647069177,0.8384527371941559,0.8663087484597782,0.8692131666960042,0.8274511529660271,0.6767294490406618,0.8730857243443055,0.8898081323710615,0.8902922020770991,0.801487414187643,0.8955289561696884
6,MCAR,0.5,0.8406090477028693,0.8151293786305227,0.8162735433902482,0.7721791938039078,0.7806284104911108,0.7921140644252773,0.8004312621017426,0.8346681922196797,0.6286305227952826,0.832731913395529,0.8614680513994015,0.8615120577363141,0.7664143636683683,0.8324678753740539
7,MCAR,0.7,0.7664583700052807,0.7252684386551663,0.7371941559584579,0.6684122513641965,0.6908994895264919,0.7403186058792466,0.7334096109839817,0.7090301003344482,0.6856627354339024,0.7541806020066888,0.7832687907058618,0.7802763597958106,0.7160711142404506,0.7792642140468227
8,MNAR,0.1,0.9625946136243619,0.9548935046646718,0.9619345185706742,0.9605263157894738,0.9611424045062489,0.9610103854955114,0.9667312092941384,0.9583700052807604,0.7833127970427741,0.9604823094525611,0.9616704805491991,0.9614504488646365,0.9353986974124274,0.9579739482485478
9,MNAR,0.3,0.8837792642140467,0.8699172680866045,0.841621193451857,0.8693891920436543,0.8146893152613975,0.8904242210878367,0.850158422812885,0.857155430381975,0.7331895792994192,0.8748459778208061,0.8887519802851611,0.8893680690019363,0.845449744763246,0.8875638091885232
10,MNAR,0.5,0.8608519626826262,0.856803379686675,0.7942703749339906,0.7935222672064778,0.8208061960922373,0.8643724696356274,0.8013994015138179,0.7777239922548848,0.6572786481253301,0.8491902834008098,0.8666607991550782,0.8656486534060904,0.8133691251540222,0.8419732441471572
11,MNAR,0.7,,,,,,,,,,,,,,
