,Scenario,proba_absence,Imputer: remasker,lstm,gain,ice,mice,missforest,sinkhorn,miwae,miracle,EM,mean,median,most_frequent,softimpute
0,MAR,0.1,0.28636568444728244,0.4095655424536711,0.3842144413329988,0.2841376497377423,0.3701472727006686,0.2823816527019493,0.3334849030375438,0.40015070452926915,4.492569657000719,0.2824952251712284,0.2960059386258849,0.2965742871547739,0.5957373774725937,0.2977340776770712
1,MAR,0.3,0.28310425624981944,0.39858619118181976,0.3360274948183623,0.2899659437774316,0.4002712074885619,0.28850916825814477,0.31478585828007993,0.4407687961846189,4.23441499384292,0.2882647525049232,0.2894918220800307,0.2897866750503466,0.5670558214109654,0.2908114671135843
2,MAR,0.5,0.29243428610224653,0.39134460235139007,0.3306275842667956,0.3241625536358273,0.38973191910824195,0.32639600349427894,0.3259250984885559,0.4430127369994844,3.5808857093389204,0.2946169851386416,0.2922009049556261,0.2930147135281824,0.5631175175751226,0.30597050481045407
3,MAR,0.7,0.30663139241479215,0.4618773064517414,0.35380484910651117,0.35226422379984806,0.4282892526494852,0.3440369718442845,0.327661554783975,0.40015759561843584,3.7211985132022742,0.3159652735238274,0.3053634931751247,0.30534872355795395,0.578240530166209,0.3271865385338026
4,MCAR,0.1,0.285697611431454,0.39384445427314874,0.3471219732856454,0.2840698766605944,0.38703393042728934,0.28154755927696445,0.3337723777397652,0.42448897933367874,4.515110632997728,0.2838982614130029,0.2991834743347312,0.29957234190590915,0.582572343796678,0.2971275404069892
5,MCAR,0.3,0.2914615353655731,0.395491731959402,0.334597921544953,0.3302156151359026,0.39524570151499766,0.2988484480689253,0.3437688923593752,0.4155363884847806,4.1229904965264454,0.29052828926588586,0.2973708049615845,0.2977822007077948,0.5886033207417749,0.30251599664725065
6,MCAR,0.5,0.2929644178922054,0.4304794226319354,0.37099256908851025,0.37178949127351124,0.409720453590562,0.32625633115959923,0.35167492188497484,0.4096396225569302,3.7904562984718977,0.29806653948932554,0.29540146575780923,0.2960284123406657,0.5803804679558795,0.32420122251145017
7,MCAR,0.7,0.2995077121546861,0.4599614621177228,0.41658751266793725,0.39094045535064226,0.42776963149871755,0.3676703033130446,0.35328739400974823,0.41142126286507524,3.193342729718569,0.3193268667369661,0.29767888516173074,0.2989366492959344,0.5715288250229291,0.3559465550841512
8,MNAR,0.1,0.2779339967235957,0.3899281483809164,0.3353537922067257,0.2755566796692563,0.37260268839297755,0.27415845593990534,0.3182552588996359,0.40464101141465275,4.500490756679366,0.27514378396937683,0.29186200224657266,0.29201413582193597,0.5817902306129311,0.2914978790903553
9,MNAR,0.3,0.28922306015277466,0.4114609176566856,0.346571606427776,0.2981495281129557,0.3966030599203915,0.2925139574858192,0.339044868914699,0.40517956772706576,4.042498837913988,0.28682901838734837,0.2939054545422496,0.29421468753181207,0.583373094836657,0.3041670835447622
10,MNAR,0.5,0.2952887948538697,0.42878169048040826,0.4221221747649609,0.36203714646122126,0.410267879534031,0.3256294332856767,0.34967797750778207,0.4041807037432624,3.6306384177898883,0.2989495019764256,0.29664882387896424,0.29718541878688387,0.5755027149700803,0.324220900276957
11,MNAR,0.7,,,,,,,,,,,,,,
