,Scenario,proba_absence,Imputer: remasker,lstm,gain,ice,mice,missforest,sinkhorn,miwae,miracle,EM,mean,median,most_frequent,softimpute
0,MAR,0.1,0.9747333333333333,0.9793333333333334,0.9782666666666667,0.9783333333333334,0.9746,0.9765333333333334,0.9755333333333334,0.9826666666666667,0.9772,0.9769333333333332,0.9787333333333335,0.9790000000000001,0.9787333333333333,0.9748
1,MAR,0.3,0.9638666666666666,0.9537999999999999,0.9637333333333333,0.9678666666666667,0.9677333333333333,0.9674,0.9641333333333334,0.9602666666666666,0.9337333333333334,0.9710000000000001,0.9626,0.9634666666666666,0.9559333333333333,0.9699333333333334
2,MAR,0.5,0.9655999999999999,0.9339333333333334,0.9563333333333333,0.9643333333333333,0.9655999999999999,0.9695333333333332,0.9584,0.9254000000000001,0.9186666666666667,0.9709333333333333,0.9437333333333333,0.9460666666666667,0.9382666666666667,0.9641333333333333
3,MAR,0.7,0.9767333333333333,0.9579999999999999,0.9712000000000001,0.9754,0.9721333333333334,0.9722,0.9706,0.9550666666666666,0.9487333333333333,0.9748,0.9641333333333333,0.9644666666666666,0.9577333333333332,0.9764666666666666
4,MCAR,0.1,0.9722,0.9309333333333333,0.9719333333333333,0.9750666666666667,0.9774666666666666,0.9758,0.9762000000000001,0.9388666666666667,0.6910666666666666,0.9762,0.9577333333333334,0.9585333333333335,0.9408666666666666,0.9716666666666667
5,MCAR,0.3,,,,,,,,,,,,,,
6,MCAR,0.5,,,,,,,,,,,,,,
7,MCAR,0.7,,,,,,,,,,,,,,
8,MNAR,0.1,0.9639333333333333,0.9481333333333334,0.9796666666666667,0.9752000000000001,0.9676,0.9723333333333334,0.9708,0.9401333333333334,0.8042000000000001,0.9737333333333332,0.9701333333333334,0.9716,0.9526666666666667,0.9753999999999999
9,MNAR,0.3,,,,,,,,,,,,,,
10,MNAR,0.5,,,,,,,,,,,,,,
11,MNAR,0.7,,,,,,,,,,,,,,
