,Scenario,proba_absence,Imputer: remasker,lstm,gain,ice,mice,missforest,sinkhorn,miwae,miracle,EM,mean,median,most_frequent,softimpute
0,MAR,0.1,0.15590372513399536,0.46025331964957333,0.1654421516542107,0.13551571271156962,0.1647224577122609,0.1107142516688086,0.14654782747676307,0.5554657948821471,4.3749068466408865,0.11494638118753932,0.18872885578663628,0.19043485001114013,0.266294917103854,0.20437453936442526
1,MAR,0.3,0.1342500248835903,0.6243903156574606,0.16937595237728778,0.12491549797366426,0.13086403566363178,0.11408658473672828,0.13972932091826337,0.6462496153992751,4.341043254408469,0.10383001584194305,0.33801259708131143,0.32398625885574994,0.4966897660635037,0.13628212971326062
2,MAR,0.5,0.1344070103000466,0.5239574298332645,0.14553281972767582,0.14489020731543842,0.16370843873188748,0.11180616830416122,0.13534187435679312,0.6205250719023667,4.478486810483842,0.12354168443988972,0.2708121339848553,0.26549220536789986,0.43172502157377163,0.29610200438846473
3,MAR,0.7,0.13126735601316017,0.4326513628218508,0.16660240281308641,0.11496215614107555,0.14557934891798227,0.14239628702418441,0.12765194781751193,0.614478744301029,4.565097509762235,0.10023474988139248,0.29888044058508545,0.3171402431704473,0.42351208125990136,0.11219596982956921
4,MCAR,0.1,0.12960390835681218,0.48842948288463905,0.15042382177740884,0.09726912422919853,0.11290545712244415,0.08940913606588426,0.09992104231993326,0.5102508238692273,4.479355896004489,0.09071540618753828,0.26567476157555203,0.2786663177875489,0.4118660631443019,0.17822010118099607
5,MCAR,0.3,,,,,,,,,,,,,,
6,MCAR,0.5,,,,,,,,,,,,,,
7,MCAR,0.7,,,,,,,,,,,,,,
8,MNAR,0.1,0.22857452578726994,0.48971766372646586,0.140518382175907,0.1116586058321028,0.16367730103975775,0.11893770524936466,0.13883150615050735,0.5100490962955434,4.419701150784335,0.10000270916083957,0.29329483274250134,0.3170395185978725,0.4057743368136766,0.19041532079899243
9,MNAR,0.3,,,,,,,,,,,,,,
10,MNAR,0.5,,,,,,,,,,,,,,
11,MNAR,0.7,,,,,,,,,,,,,,
