,Scenario,proba_absence,Imputer: remasker,lstm,gain,ice,mice,missforest,sinkhorn,miwae,miracle,EM,mean,median,most_frequent,softimpute
0,MAR,0.1,0.017665872355573476,0.08768290297255416,0.02461407689032731,0.016829954248706886,0.010602212409117968,0.013215694168309741,0.011109954482047532,0.05084308706747804,0.9032365968492295,0.010982235239452989,0.029420412779191402,0.029259259259259256,0.039999999999999994,0.02279952351090716
1,MAR,0.3,0.04544541917713238,0.3320483944538214,0.06888779001103507,0.03730029020555932,0.02070326734930618,0.037841004496433836,0.035907893807980235,0.26588173335734977,2.515260867895903,0.027094757662317667,0.1713324514991182,0.1628703703703704,0.237962962962963,0.04299174389392066
2,MAR,0.5,0.07210004434444367,0.44400509186277104,0.09247134688827727,0.06642734873078647,0.03540158182071704,0.06101252793476243,0.061814545020482795,0.36913055513302023,4.313552643458049,0.047280378077873546,0.21289381153305204,0.2063888888888889,0.3080555555555556,0.12556093043333622
3,MAR,0.7,0.07356181614819308,0.49080865533492196,0.14523786581051815,0.07393971563358637,0.06126801340533814,0.09498125086927761,0.0801840010826142,0.5137950851022263,6.128025514323683,0.03559978411302242,0.3381715679173306,0.3451663527934714,0.44958254865034525,0.07023873393192576
4,MCAR,0.1,0.028391660583531216,0.17366229527982813,0.03925841537422902,0.01658916455922316,0.023327957897413126,0.01826222442665611,0.01691376199042507,0.12842071095764485,1.90487719886047,0.015939098095371036,0.09427201711011145,0.0946531701192718,0.1291650973006905,0.03566162255350825
5,MCAR,0.3,,,,,,,,,,,,,,
6,MCAR,0.5,,,,,,,,,,,,,,
7,MCAR,0.7,,,,,,,,,,,,,,
8,MNAR,0.1,0.04423406086537619,0.17899166285603474,0.044527494058770656,0.02952576255187233,0.0229247464226503,0.027266797677589973,0.02888824778803447,0.12741209936975426,1.9680204798931307,0.022453240031027256,0.10980812849618724,0.1167608286252354,0.13819209039548025,0.04347394938971796
9,MNAR,0.3,,,,,,,,,,,,,,
10,MNAR,0.5,,,,,,,,,,,,,,
11,MNAR,0.7,,,,,,,,,,,,,,
