,Scenario,proba_absence,Imputer: remasker,lstm,gain,ice,mice,missforest,sinkhorn,miwae,miracle,EM,mean,median,most_frequent,softimpute
0,MAR,0.1,0.20454535689828182,0.556907153848427,0.2475402183847565,0.27744880044782605,0.2961093957823612,0.1950557816342504,0.21085392965718705,0.26391725661753923,0.23162674017941412,0.20375605474459618,0.245737483719804,0.25711542516881,0.33502459623575076,0.24255130356477753
1,MAR,0.3,0.22677880913320908,0.4872264897623837,0.25386754206260104,0.3095173034379995,0.3334238855617127,0.2381839559398056,0.2189131126408532,0.27129457149582925,0.2773642475035961,0.2289626008358571,0.25390228906199125,0.259667708845051,0.3425059279804647,0.2484850244712865
2,MAR,0.5,0.22217010451035732,0.5888966958068218,0.25663328551175224,0.2683017676676976,0.3210647796571025,0.22092680521759622,0.22923176585985588,0.2618104086011052,0.26520860740071056,0.21661989449048283,0.24554288888709638,0.25720270529958694,0.2875323130452547,0.25086698240101757
3,MAR,0.7,0.25549326062748634,0.526355107663583,0.29735025881240884,0.3389249509036335,0.392899038947794,0.29313453647723087,0.2970925092435127,0.3184333648581036,0.31780430258653936,0.2691529823768696,0.29955906909537633,0.35152284115044596,0.3910634221172761,0.29607691266061237
4,MCAR,0.1,0.22551262826575544,0.5330742565411156,0.26948530078010635,0.3110106423285471,0.3336724967953498,0.2348460727256136,0.24135936195313695,0.2913506152000723,0.232611303100154,0.2290134474862764,0.2727775593086144,0.31108437968583375,0.3638155383294616,0.2639537566268816
5,MCAR,0.3,0.2708975226249757,0.538920545098602,0.2685695762486826,0.31928142851810665,0.34719977210632813,0.25500732701580925,0.2669339262056485,0.29705263662433273,0.2614337802105913,0.24221363499425336,0.2777396252853605,0.3144380255383548,0.3645381481813006,0.285249884503947
6,MCAR,0.5,0.2679083277701663,0.5467331771984235,0.3184931363591721,0.33873589427290807,0.3624424589930329,0.27264757928651534,0.27660005545836713,0.2968021954392792,0.3028629491994852,0.25051492286075894,0.2766187707412661,0.3136217307200358,0.3600063533886673,0.30618696763489855
7,MCAR,0.7,,,,,,,,,,,,,,
8,MNAR,0.1,0.2268019667007583,0.5257221934196221,0.2710590250957601,0.30700948094058206,0.33107935524447124,0.23166208861297713,0.23714910261332037,0.2927436819625109,0.3436488501978825,0.23288419972605942,0.2743460358518306,0.31383052844447606,0.3638385697160521,0.2698759101952673
9,MNAR,0.3,0.25749185026755256,0.5478720032020008,0.30264789926916635,0.305533952218722,0.34729208602848227,0.24942939295082855,0.2623272713800877,0.29239315876607636,0.2579766365016491,0.24036727737620953,0.27548492773080946,0.3113486938771223,0.3650235412111304,0.28859141082152645
10,MNAR,0.5,0.28032463155957876,0.5362929271107099,0.43680049928840153,0.3051872445667695,0.3590920940876004,0.26272949262032896,0.26938753060163284,0.2879413886079741,0.2900033182854581,0.24328758530014255,0.2723113320803586,0.3050599317820126,0.35476927564569294,0.3018641985514313
11,MNAR,0.7,,,,,,,,,,,,,,
